dataset,label_set,value,label_text
cap17,know_alc_12,1,FALSE
cap17,know_alc_12,2,Don't Know
cap17,know_alc_13,0,TRUE
cap17,know_alc_13,1,FALSE
cap17,know_alc_13,2,Don't Know
cap17,know_alc_14,0,TRUE
cap17,know_alc_14,1,FALSE
cap17,know_alc_14,2,Don't Know
cap17,know_alc_15,0,TRUE
cap17,know_alc_15,1,FALSE
cap17,know_alc_15,2,Don't Know
cap17,know_alc_16,0,TRUE
cap17,know_alc_16,1,FALSE
cap17,know_alc_16,2,Don't Know
cap17,sub_alc_sip_age,0,Never
cap17,sub_alc_sip_age,1,Age 10 or below
cap17,sub_alc_sip_age,2,Age 11
cap17,sub_alc_sip_age,3,Age 12
cap17,sub_alc_sip_age,4,Age 13
cap17,sub_alc_sip_age,5,Age 14
cap17,sub_alc_sip_age,6,Age 15 or above
cap17,sub_alc_full_age,0,Never
cap17,sub_alc_full_age,1,Age 10 or below
cap17,sub_alc_full_age,2,Age 11
cap17,sub_alc_full_age,3,Age 12
cap17,sub_alc_full_age,4,Age 13
cap17,sub_alc_full_age,5,Age 14
cap17,sub_alc_full_age,6,Age 15 or above
cap17,sub_alc_drunk_age,0,Never
cap17,sub_alc_drunk_age,1,Age 10 or below
cap17,sub_alc_drunk_age,2,Age 11
cap17,sub_alc_drunk_age,3,Age 12
cap17,sub_alc_drunk_age,4,Age 13
cap17,sub_alc_drunk_age,5,Age 14
cap17,sub_alc_drunk_age,6,Age 15 or above
cap17,sub_alc_binge_age,0,Never
cap17,sub_alc_binge_age,1,Age 10 or below
cap17,sub_alc_binge_age,2,Age 11
cap17,sub_alc_binge_age,3,Age 12
cap17,sub_alc_binge_age,4,Age 13
cap17,sub_alc_binge_age,5,Age 14
cap17,sub_alc_binge_age,6,Age 15 or above
cap17,sub_alc_sup_6m,0,Yes
cap17,sub_alc_sup_6m,1,No
cap17,sub_alc_full_6m,0,Yes
cap17,sub_alc_full_6m,1,No
cap17,sub_alc_full_6m_freq,0,Never
cap17,sub_alc_full_6m_freq,1,Less than monthly
cap17,sub_alc_full_6m_freq,2,Once a month
cap17,sub_alc_full_6m_freq,3,2-3 times a month
cap17,sub_alc_full_6m_freq,4,Weekly
cap17,sub_alc_full_6m_freq,5,Daily or almost daily
cap17,sub_alc_binge_6m,0,Never
cap17,sub_alc_binge_6m,1,Less than monthly
cap17,sub_alc_binge_6m,2,Once a month
cap17,sub_alc_binge_6m,3,2-3 times a month
cap17,sub_alc_binge_6m,4,Weekly
cap17,sub_alc_binge_6m,5,Daily or almost daily
cap17,sub_alc_full_6m_qty_raw,0,None
cap17,sub_alc_full_6m_qty_raw,1,1-Feb
cap17,sub_alc_full_6m_qty_raw,2,3-Apr
cap17,sub_alc_full_6m_qty_raw,3,5-Jun
cap17,sub_alc_full_6m_qty_raw,4,7-Sep
cap17,sub_alc_full_6m_qty_raw,5,10+
cap17,sub_alc_friends_drink,0,All or almost all
cap17,sub_alc_friends_drink,1,More than half
cap17,sub_alc_friends_drink,2,About half
cap17,sub_alc_friends_drink,3,Less than half
cap17,sub_alc_friends_drink,4,none
cap17,sub_alc_friends_drunk,0,All or almost all
cap17,sub_alc_friends_drunk,1,More than half
cap17,sub_alc_friends_drunk,2,About half
cap17,sub_alc_friends_drunk,3,Less than half
cap17,sub_alc_friends_drunk,4,none
cap17,sub_alc_rapi_01,0,Never
cap17,sub_alc_rapi_01,1,1-2 times
cap17,sub_alc_rapi_01,2,3-4 times
cap17,sub_alc_rapi_01,3,5-6 times
cap17,sub_alc_rapi_01,4,More than 6 times
cap17,sub_alc_rapi_02,0,Never
cap17,sub_alc_rapi_02,1,1-2 times
cap17,sub_alc_rapi_02,2,3-4 times
cap17,sub_alc_rapi_02,3,5-6 times
cap17,sub_alc_rapi_02,4,More than 6 times
cap17,sub_alc_rapi_03,0,Never
cap17,sub_alc_rapi_03,1,1-2 times
cap17,sub_alc_rapi_03,2,3-4 times
cap17,sub_alc_rapi_03,3,5-6 times
cap17,sub_alc_rapi_03,4,More than 6 times
cap17,sub_alc_rapi_04,0,Never
cap17,sub_alc_rapi_04,1,1-2 times
cap17,sub_alc_rapi_04,2,3-4 times
cap17,sub_alc_rapi_04,3,5-6 times
cap17,sub_alc_rapi_04,4,More than 6 times
cap17,sub_alc_rapi_05,0,Never
cap17,sub_alc_rapi_05,1,1-2 times
cap17,sub_alc_rapi_05,2,3-4 times
cap17,sub_alc_rapi_05,3,5-6 times
cap17,sub_alc_rapi_05,4,More than 6 times
cap17,sub_alc_rapi_06,0,Never
cap17,sub_alc_rapi_06,1,1-2 times
cap17,sub_alc_rapi_06,2,3-4 times
cap17,sub_alc_rapi_06,3,5-6 times
cap17,sub_alc_rapi_06,4,More than 6 times
cap17,sub_alc_rapi_07,0,Never
cap17,sub_alc_rapi_07,1,1-2 times
cap17,sub_alc_rapi_07,2,3-4 times
cap17,sub_alc_rapi_07,3,5-6 times
cap17,sub_alc_rapi_07,4,More than 6 times
cap17,sub_alc_rapi_08,0,Never
cap17,sub_alc_rapi_08,1,1-2 times
cap17,sub_alc_rapi_08,2,3-4 times
cap17,sub_alc_rapi_08,3,5-6 times
cap17,sub_alc_rapi_08,4,More than 6 times
cap17,sub_alc_att_01,0,Strongly Agree
cap17,sub_alc_att_01,1,Agree
cap17,sub_alc_att_01,2,uncertain
cap17,sub_alc_att_01,3,Disagree
cap17,sub_alc_att_01,4,Strongly disagree
cap17,sub_alc_att_02,0,Strongly Agree
cap17,sub_alc_att_02,1,Agree
cap17,sub_alc_att_02,2,uncertain
cap17,sub_alc_att_02,3,Disagree
cap17,sub_alc_att_02,4,Strongly disagree
cap17,sub_alc_att_03,0,Strongly Agree
cap17,sub_alc_att_03,1,Agree
cap17,sub_alc_att_03,2,uncertain
cap17,sub_alc_att_03,3,Disagree
cap17,sub_alc_att_03,4,Strongly disagree
cap17,sub_alc_att_04,0,Strongly Agree
cap17,sub_alc_att_04,1,Agree
cap17,sub_alc_att_04,2,uncertain
cap17,sub_alc_att_04,3,Disagree
cap17,sub_alc_att_04,4,Strongly disagree
cap17,sub_alc_att_05,0,Strongly Agree
cap17,sub_alc_att_05,1,Agree
cap17,sub_alc_att_05,2,uncertain
cap17,sub_alc_att_05,3,Disagree
cap17,sub_alc_att_05,4,Strongly disagree
cap17,sub_alc_att_06,0,Strongly Agree
cap17,sub_alc_att_06,1,Agree
cap17,sub_alc_att_06,2,uncertain
cap17,sub_alc_att_06,3,Disagree
cap17,sub_alc_att_06,4,Strongly disagree
cap17,sub_alc_att_07,0,Strongly Agree
cap17,sub_alc_att_07,1,Agree
cap17,sub_alc_att_07,2,uncertain
cap17,sub_alc_att_07,3,Disagree
cap17,sub_alc_att_07,4,Strongly disagree
cap17,sub_alc_att_08,0,Strongly Agree
cap17,sub_alc_att_08,1,Agree
cap17,sub_alc_att_08,2,uncertain
cap17,sub_alc_att_08,3,Disagree
cap17,sub_alc_att_08,4,Strongly disagree
cap17,sub_alc_att_09,0,Strongly Agree
cap17,sub_alc_att_09,1,Agree
cap17,sub_alc_att_09,2,uncertain
cap17,sub_alc_att_09,3,Disagree
cap17,sub_alc_att_09,4,Strongly disagree
cap17,know_can_01,0,TRUE
cap17,know_can_01,1,FALSE
cap17,know_can_01,2,Don't Know
cap17,know_can_02,0,TRUE
cap17,know_can_02,1,FALSE
cap17,know_can_02,2,Don't Know
cap17,know_can_03,0,TRUE
cap17,know_can_03,1,FALSE
cap17,know_can_03,2,Don't Know
cap17,know_can_04,0,TRUE
cap17,know_can_04,1,FALSE
cap17,know_can_04,2,Don't Know
cap17,know_can_05,0,TRUE
cap17,know_can_05,1,FALSE
cap17,know_can_05,2,Don't Know
cap17,know_can_06,0,TRUE
cap17,know_can_06,1,FALSE
cap17,know_can_06,2,Don't Know
cap17,know_can_07,0,TRUE
cap17,know_can_07,1,FALSE
cap17,know_can_07,2,Don't Know
cap17,know_can_08,0,TRUE
cap17,know_can_08,1,FALSE
cap17,know_can_08,2,Don't Know
cap17,know_can_09,0,TRUE
cap17,know_can_09,1,FALSE
cap17,know_can_09,2,Don't Know
cap17,know_can_10,0,TRUE
cap17,know_can_10,1,FALSE
cap17,know_can_10,2,Don't Know
cap17,know_can_11,0,TRUE
cap17,know_can_11,1,FALSE
cap17,know_can_11,2,Don't Know
cap17,know_can_12,0,TRUE
cap17,know_can_12,1,FALSE
cap17,know_can_12,2,Don't Know
cap17,know_can_13,0,TRUE
cap17,know_can_13,1,FALSE
cap17,know_can_13,2,Don't Know
cap17,know_can_14,0,TRUE
cap17,know_can_14,1,FALSE
cap17,know_can_14,2,Don't Know
cap17,know_can_15,0,TRUE
cap17,know_can_15,1,FALSE
cap17,know_can_15,2,Don't Know
cap17,know_can_16,0,TRUE
cap17,know_can_16,1,FALSE
cap17,know_can_16,2,Don't Know
cap17,sub_can_age,0,Never
cap17,sub_can_age,1,Age 10 or below
cap17,sub_can_age,2,Age 11
cap17,sub_can_age,3,Age 12
cap17,sub_can_age,4,Age 13
cap17,sub_can_age,5,Age 14
cap17,sub_can_age,6,Age 15 or above
cap17,sub_can_6m_raw,0,Yes
cap17,sub_can_6m_raw,1,No
cap17,sub_can_prop,0,All or almost all
cap17,sub_can_prop,1,More than half
cap17,sub_can_prop,2,About half
cap17,sub_can_prop,3,Less than half
cap17,sub_can_prop,4,None
cap17,sub_can_harm_01,0,Yes
cap17,sub_can_harm_01,1,No
cap17,sub_can_harm_01,2,Never tried
cap17,sub_can_harm_02,0,Yes
cap17,sub_can_harm_02,1,No
cap17,sub_can_harm_02,2,Never tried
cap17,sub_can_harm_03,0,Yes
cap17,sub_can_harm_03,1,No
cap17,sub_can_harm_03,2,Never tried
cap17,sub_can_harm_04,0,Yes
cap17,sub_can_harm_04,1,No
cap17,sub_can_harm_04,2,Never tried
cap17,sub_can_harm_05,0,Yes
cap17,sub_can_harm_05,1,No
cap17,sub_can_harm_05,2,Never tried
cap17,sub_can_harm_06,0,Yes
cap17,sub_can_harm_06,1,No
cap17,sub_can_harm_06,2,Never tried
cap17,sub_can_att_01,0,Strongly disagree
cap17,sub_can_att_01,1,disagree
cap17,sub_can_att_01,2,Neither agree nor disagree
cap17,sub_can_att_01,3,Agree
cap17,sub_can_att_01,4,Strongly Agree
cap17,sub_can_att_02,0,Strongly disagree
cap17,sub_can_att_02,1,disagree
cap17,sub_can_att_02,2,Neither agree nor disagree
cap17,sub_can_att_02,3,Agree
cap17,sub_can_att_02,4,Strongly Agree
cap17,sub_can_att_03,0,Strongly disagree
cap17,sub_can_att_03,1,disagree
cap17,sub_can_att_03,2,Neither agree nor disagree
cap17,sub_can_att_03,3,Agree
cap17,sub_can_att_03,4,Strongly Agree
cap17,sub_can_att_04,0,Strongly disagree
cap17,sub_can_att_04,1,disagree
cap17,sub_can_att_04,2,Neither agree nor disagree
cap17,sub_can_att_04,3,Agree
cap17,sub_can_att_04,4,Strongly Agree
cap17,sub_tob_6m_raw,0,Never tried
cap17,sub_tob_6m_raw,1,Tried once
cap17,sub_tob_6m_raw,2,Tried more than once and less than 5 times
cap17,sub_tob_6m_raw,3,Tried more than 5 times
cap17,sub_ecs_6m_raw,0,Never tried
cap17,sub_ecs_6m_raw,1,Tried once
cap17,sub_ecs_6m_raw,2,Tried more than once and less than 5 times
cap17,sub_ecs_6m_raw,3,Tried more than 5 times
cap17,sub_meth_6m_raw,0,Never tried
cap17,sub_meth_6m_raw,1,Tried once
cap17,sub_meth_6m_raw,2,Tried more than once and less than 5 times
cap17,sub_meth_6m_raw,3,Tried more than 5 times
cap17,sub_oth_6m_raw,0,Never tried
cap17,sub_oth_6m_raw,1,Tried once
cap17,sub_oth_6m_raw,2,Tried more than once and less than 5 times
cap17,sub_oth_6m_raw,3,Tried more than 5 times
cap17,sub_alc_int_raw,0,Very unlikely
cap17,sub_alc_int_raw,1,unlikely
cap17,sub_alc_int_raw,2,unsure
cap17,sub_alc_int_raw,3,likely
cap17,sub_alc_int_raw,4,very likely
cap17,sub_can_int_raw,0,Very unlikely
cap17,sub_can_int_raw,1,unlikely
cap17,sub_can_int_raw,2,unsure
cap17,sub_can_int_raw,3,likely
cap17,sub_can_int_raw,4,very likely
cap17,sub_tob_int_raw,0,Very unlikely
cap17,sub_tob_int_raw,1,unlikely
cap17,sub_tob_int_raw,2,unsure
cap17,sub_tob_int_raw,3,likely
cap17,sub_tob_int_raw,4,very likely
cap17,sub_ecs_int_raw,0,Very unlikely
cap17,sub_ecs_int_raw,1,unlikely
cap17,sub_ecs_int_raw,2,unsure
cap17,sub_ecs_int_raw,3,likely
cap17,sub_ecs_int_raw,4,very likely
cap17,sub_meth_int_raw,0,Very unlikely
cap17,sub_meth_int_raw,1,unlikely
cap17,sub_meth_int_raw,2,unsure
cap17,sub_meth_int_raw,3,likely
cap17,sub_meth_int_raw,4,very likely
cap17,sx_rses_01,0,Not well at all
cap17,sx_rses_01,2,Not too well
cap17,sx_rses_01,4,Pretty well
